AL Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,2-0,Blue,20,51.5,8,1,TT,8,43.9,2,1,24:09:00,AL vs TT (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,15,48.7,9,3,TT,3,37,1,0,21:55,AL vs TT (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-0,Blue,27,61.7,9,2,EDG,11,54.2,1,2,27:43:00,AL vs EDG (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Blue,22,58,9,2,EDG,6,45.1,2,1,25:05:00,AL vs EDG (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-0,Blue,29,70.5,10,2,TES,13,60.8,2,3,31:23:00,Top Esports vs AL (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Blue,13,70.2,9,3,TES,4,61,1,2,35:31:00,Top Esports vs AL (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,1-2,Blue,10,58.1,1,0,BLG,18,67.5,9,4,33:24:00,AL vs BLG (3),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,17,67.5,9,3,BLG,7,59.9,2,1,34:10:00,AL vs BLG (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Red,14,70,3,1,BLG,14,73.3,9,3,38:06:00,AL vs BLG (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-0,Blue,21,64.9,8,2,LGD,2,54.3,3,3,31:14:00,AGAL vs LGD Gaming (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,14,59.7,7,3,LGD,10,55.6,0,2,29:51:00,AGAL vs LGD Gaming (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-1,Red,25,108.4,9,4,JDG,14,104.9,9,1,56:24:00,JD Gaming vs AGAL (3),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,20,71,7,3,JDG,7,67,3,2,36:09:00,JD Gaming vs AGAL (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Red,7,52.9,3,3,JDG,10,59.8,8,2,29:45:00,JD Gaming vs AGAL (1),16.14,WEEK1,LPL 2026 Split 3
