BLG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,2-0,Blue,17,66.2,10,2,JDG,6,54.5,0,2,31:16:00,JD Gaming vs BLG (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Blue,20,68.2,9,3,JDG,10,58.5,4,2,33:50:00,JD Gaming vs BLG (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-0,Blue,26,66.1,10,2,WE,15,53.9,3,1,28:33:00,Team WE vs BLG (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,20,67.3,11,2,WE,9,54.5,0,1,30:46:00,Team WE vs BLG (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-1,Red,17,64.2,10,4,LGD,9,51,1,0,31:23:00,BLG vs LGD Gaming (3),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,9,52.2,3,1,LGD,17,60.7,8,3,29:23:00,BLG vs LGD Gaming (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,25,78.4,12,4,LGD,16,70.4,3,2,37:29:00,BLG vs LGD Gaming (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-1,Red,18,67.5,9,4,AL,10,58.1,1,0,33:24:00,AL vs BLG (3),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,7,59.9,2,1,AL,17,67.5,9,3,34:10:00,AL vs BLG (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Blue,14,73.3,9,3,AL,14,70,3,1,38:06:00,AL vs BLG (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-1,Blue,21,67.5,9,3,EDG,10,55.9,0,1,32:15:00,EDG vs BLG (3),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,28,77.3,10,3,EDG,20,66,2,2,34:33:00,EDG vs BLG (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,15,70.2,5,3,EDG,17,72.1,8,3,37:22:00,EDG vs BLG (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-1,Red,27,65.8,8,4,TT,13,56.8,1,0,29:41:00,BLG vs TT (3),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,11,51.1,2,1,TT,23,60.9,7,3,28:34:00,BLG vs TT (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,31,68.9,11,4,TT,11,54.8,2,1,30:26:00,BLG vs TT (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,1-2,Blue,10,68.6,5,3,DK,14,72.1,8,3,38:12:00,BLG vs Dplus KIA (3),16.13,QUARTERFINALS,Esports World Cup 2026
WIN,|,Red,17,73,11,4,DK,13,62.7,4,1,34:36:00,BLG vs Dplus KIA (2),16.13,QUARTERFINALS,Esports World Cup 2026
LOSS,|,Red,15,74.8,5,3,DK,17,76.5,7,3,39:17:00,BLG vs Dplus KIA (1),16.13,QUARTERFINALS,Esports World Cup 2026
WIN,1-0,Red,24,69.8,8,5,T1,13,59.5,2,0,32:25:00,BLG vs T1,16.13,GROUPSTAGE,Esports World Cup 2026
WIN,1-0,Blue,20,64.4,7,4,MKOI,15,59.5,1,1,33:19:00,BLG vs MKOI,16.13,GROUPSTAGE,Esports World Cup 2026
