EDG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,0-2,Red,11,54.2,1,2,AL,27,61.7,9,2,27:43:00,AL vs EDG (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Red,6,45.1,2,1,AL,22,58,9,2,01:05,AL vs EDG (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,19,74.9,3,1,WE,32,86,10,4,37:51:00,EDG vs Team WE (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Red,9,56,2,1,WE,24,67.2,10,4,30:49:00,EDG vs Team WE (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,8,62.8,3,3,TT,11,71.6,8,2,36:27:00,TT vs EDG (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,6,49.8,2,1,TT,22,63.8,9,4,28:52:00,TT vs EDG (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,1-2,Red,10,55.9,0,1,BLG,21,67.5,9,3,32:15:00,EDG vs BLG (3),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,20,66,2,2,BLG,28,77.3,10,3,34:33:00,EDG vs BLG (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,17,72.1,8,3,BLG,15,70.2,5,3,37:22:00,EDG vs BLG (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,0-2,Red,11,70.5,4,4,LGD,20,78.4,9,1,37:36:00,LGD Gaming vs EDG (2),16.13,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,11,72.8,3,2,LGD,21,83.7,9,4,41:49:00,LGD Gaming vs EDG (1),16.13,WEEK1,LPL 2026 Split 3
