JDG Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,0-2,Red,15,61.4,3,1,TES,13,62.9,10,4,33:17:00,Top Esports vs JD Gaming (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,8,58.8,2,0,TES,27,69.4,9,4,08:49,Top Esports vs JD Gaming (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,6,54.5,0,2,BLG,17,66.2,10,2,31:16:00,JD Gaming vs BLG (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Red,10,58.5,4,2,BLG,20,68.2,9,3,33:50:00,JD Gaming vs BLG (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-1,Blue,23,69.5,10,4,TT,5,57.2,0,0,32:41:00,TT vs JD Gaming (3),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,17,57.4,8,3,TT,7,48.3,1,0,27:24:00,TT vs JD Gaming (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,13,60.4,4,2,TT,23,71.4,9,3,33:01:00,TT vs JD Gaming (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,1-2,Blue,7,56.1,2,0,WE,15,60.7,8,4,30:24:00,Team WE vs JD Gaming (3),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Blue,20,64.9,9,2,WE,9,53.3,0,2,30:02:00,Team WE vs JD Gaming (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Red,13,62.2,4,2,WE,22,67.1,9,2,32:00:00,Team WE vs JD Gaming (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,1-2,Blue,14,104.9,9,1,AL,25,108.4,9,4,56:24:00,JD Gaming vs AGAL (3),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,7,67,3,2,AL,20,71,7,3,36:09:00,JD Gaming vs AGAL (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Blue,10,59.8,8,2,AL,7,52.9,3,3,29:45:00,JD Gaming vs AGAL (1),16.14,WEEK1,LPL 2026 Split 3
