LGD Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,1-2,Red,10,56,1,1,TES,20,67.5,11,3,31:59:00,LGD Gaming vs Top Esports (3),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,8,44.3,2,0,TES,9,53,10,4,02:26,LGD Gaming vs Top Esports (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,12,53.8,7,2,TES,4,44.6,2,2,26:16:00,LGD Gaming vs Top Esports (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,1-2,Blue,9,51,1,0,BLG,17,64.2,10,4,31:23:00,BLG vs LGD Gaming (3),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,17,60.7,8,3,BLG,9,52.2,3,1,29:23:00,BLG vs LGD Gaming (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,16,70.4,3,2,BLG,25,78.4,12,4,37:29:00,BLG vs LGD Gaming (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,11,61.3,3,2,WE,27,70.2,9,3,33:38:00,LGD Gaming vs Team WE (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Red,3,48.3,2,0,WE,12,58.5,8,4,28:10:00,LGD Gaming vs Team WE (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,0-2,Red,2,54.3,3,3,AL,21,64.9,8,2,31:14:00,AGAL vs LGD Gaming (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,10,55.6,0,2,AL,14,59.7,7,3,29:51:00,AGAL vs LGD Gaming (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-0,Blue,20,78.4,9,1,EDG,11,70.5,4,4,37:36:00,LGD Gaming vs EDG (2),16.13,WEEK1,LPL 2026 Split 3
WIN,|,Red,21,83.7,9,4,EDG,11,72.8,3,2,41:49:00,LGD Gaming vs EDG (1),16.13,WEEK1,LPL 2026 Split 3
