TES Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,2-0,Blue,13,62.9,10,4,JDG,15,61.4,3,1,33:17:00,Top Esports vs JD Gaming (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,27,69.4,9,4,JDG,8,58.8,2,0,08:49,Top Esports vs JD Gaming (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-1,Blue,20,67.5,11,3,LGD,10,56,1,1,31:59:00,LGD Gaming vs Top Esports (3),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,9,53,10,4,LGD,8,44.3,2,0,26:26:00,LGD Gaming vs Top Esports (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,4,44.6,2,2,LGD,12,53.8,7,2,26:16:00,LGD Gaming vs Top Esports (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,13,60.8,2,3,AL,29,70.5,10,2,31:23:00,Top Esports vs AL (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Red,4,61,1,2,AL,13,70.2,9,3,35:31:00,Top Esports vs AL (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-1,Red,20,70.5,8,4,TT,7,64.2,7,1,36:13:00,Top Esports vs TT (3),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,13,48,2,0,TT,32,60.1,10,4,26:52:00,Top Esports vs TT (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,22,78.5,9,4,TT,20,74.6,4,2,38:08:00,Top Esports vs TT (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-0,Blue,42,67.4,9,3,WE,15,52.5,2,1,29:09:00,Top Esports vs Team WE (2),16.13,WEEK1,LPL 2026 Split 3
WIN,|,Blue,17,63.7,10,3,WE,11,57.6,3,1,31:17:00,Top Esports vs Team WE (1),16.13,WEEK1,LPL 2026 Split 3
