TT Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
LOSS,1-2,Red,9,57.6,1,0,WE,22,69.7,10,4,33:00:00,TT vs Team WE (3),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,13,51.1,0,1,WE,27,65.5,8,3,04:31,TT vs Team WE (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,28,63.1,8,4,WE,12,50.3,2,0,28:46:00,TT vs Team WE (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,8,43.9,2,1,AL,20,51.5,8,1,24:09:00,AL vs TT (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,3,37,1,0,AL,15,48.7,9,3,21:55:00,AL vs TT (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,1-2,Red,5,57.2,0,0,JDG,23,69.5,10,4,32:41:00,TT vs JD Gaming (3),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,7,48.3,1,0,JDG,17,57.4,8,3,27:24:00,TT vs JD Gaming (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,23,71.4,9,3,JDG,13,60.4,4,2,33:01:00,TT vs JD Gaming (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-0,Blue,11,71.6,8,2,EDG,8,62.8,3,3,36:27:00,TT vs EDG (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,22,63.8,9,4,EDG,6,49.8,2,1,28:52:00,TT vs EDG (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,1-2,Blue,7,64.2,7,1,TES,20,70.5,8,4,36:13:00,Top Esports vs TT (3),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,32,60.1,10,4,TES,13,48,2,0,26:52:00,Top Esports vs TT (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,20,74.6,4,2,TES,22,78.5,9,4,38:08:00,Top Esports vs TT (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,1-2,Blue,13,56.8,1,0,BLG,27,65.8,8,4,29:41:00,BLG vs TT (3),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Red,23,60.9,7,3,BLG,11,51.1,2,1,28:34:00,BLG vs TT (2),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Blue,11,54.8,2,1,BLG,31,68.9,11,4,30:26:00,BLG vs TT (1),16.14,WEEK1,LPL 2026 Split 3
