WE Result,Score,Side,Kills,Golds,Towers,Dragons,Vs,Kills,Golds,Towers,Dragons,Duration,Game,Patch,Week,Tournament
WIN,2-1,Blue,22,69.7,10,4,TT,9,57.6,1,0,33:00:00,TT vs Team WE (3),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Red,27,65.5,8,3,TT,13,51.1,0,1,04:31,TT vs Team WE (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,12,50.3,2,0,TT,28,63.1,8,4,28:46:00,TT vs Team WE (1),16.14,WEEK2,LPL 2026 Split 3
LOSS,0-2,Red,15,53.9,3,1,BLG,26,66.1,10,2,28:33:00,Team WE vs BLG (2),16.14,WEEK2,LPL 2026 Split 3
LOSS,|,Blue,9,54.5,0,1,BLG,20,67.3,11,2,30:46:00,Team WE vs BLG (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-0,Blue,32,86,10,4,EDG,19,74.9,3,1,37:51:00,EDG vs Team WE (2),16.14,WEEK2,LPL 2026 Split 3
WIN,|,Blue,24,67.2,10,4,EDG,9,56,2,1,30:49:00,EDG vs Team WE (1),16.14,WEEK2,LPL 2026 Split 3
WIN,2-0,Blue,27,70.2,9,3,LGD,11,61.3,3,2,33:38:00,LGD Gaming vs Team WE (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Blue,12,58.5,8,4,LGD,3,48.3,2,0,28:10:00,LGD Gaming vs Team WE (1),16.14,WEEK1,LPL 2026 Split 3
WIN,2-1,Red,15,60.7,8,4,JDG,7,56.1,2,0,30:24:00,Team WE vs JD Gaming (3),16.14,WEEK1,LPL 2026 Split 3
LOSS,|,Red,9,53.3,0,2,JDG,20,64.9,9,2,30:02:00,Team WE vs JD Gaming (2),16.14,WEEK1,LPL 2026 Split 3
WIN,|,Blue,22,67.1,9,2,JDG,13,62.2,4,2,32:00:00,Team WE vs JD Gaming (1),16.14,WEEK1,LPL 2026 Split 3
LOSS,0-2,Red,15,52.5,2,1,TES,42,67.4,9,3,29:09:00,Top Esports vs Team WE (2),16.13,WEEK1,LPL 2026 Split 3
LOSS,|,Red,11,57.6,3,1,TES,17,63.7,10,3,31:17:00,Top Esports vs Team WE (1),16.13,WEEK1,LPL 2026 Split 3
