Side,Kills,Gold/sec,Towers,Dragons,Vs,Kills/15 minute,Gold/sec/15 minute,Towers/15 minute,Dragons/15 minute,Duration,Patch,Team,Result
,20,51.5,8,1,TT,8,43.9,2,1,24:09,16.14,AL,1
,15,48.7,9,3,TT,3,37.0,1,0,21:55,16.14,AL,1
,27,61.7,9,2,EDG,11,54.2,1,2,27:43,16.14,AL,1
,22,58.0,9,2,EDG,6,45.1,2,1,25:05,16.14,AL,1
,29,70.5,10,2,TES,13,60.8,2,3,31:23,16.14,AL,1
,13,70.2,9,3,TES,4,61.0,1,2,35:31,16.14,AL,1
,10,58.1,1,0,BLG,18,67.5,9,4,33:24,16.14,AL,0
,17,67.5,9,3,BLG,7,59.9,2,1,34:10,16.14,AL,1
,14,70.0,3,1,BLG,14,73.3,9,3,38:06,16.14,AL,0
,21,64.9,8,2,LGD,2,54.3,3,3,31:14,16.14,AL,1
,14,59.7,7,3,LGD,10,55.6,0,2,29:51,16.14,AL,1
,25,108.4,9,4,JDG,14,104.9,9,1,56:24,16.14,AL,1
,20,71.0,7,3,JDG,7,67.0,3,2,36:09,16.14,AL,1
,7,52.9,3,3,JDG,10,59.8,8,2,29:45,16.14,AL,0
,17,66.2,10,2,JDG,6,54.5,0,2,31:16,16.14,BLG,1
,20,68.2,9,3,JDG,10,58.5,4,2,33:50,16.14,BLG,1
,26,66.1,10,2,WE,15,53.9,3,1,28:33,16.14,BLG,1
,20,67.3,11,2,WE,9,54.5,0,1,30:46,16.14,BLG,1
,17,64.2,10,4,LGD,9,51.0,1,0,31:23,16.14,BLG,1
,9,52.2,3,1,LGD,17,60.7,8,3,29:23,16.14,BLG,0
,25,78.4,12,4,LGD,16,70.4,3,2,37:29,16.14,BLG,1
,18,67.5,9,4,AL,10,58.1,1,0,33:24,16.14,BLG,1
,7,59.9,2,1,AL,17,67.5,9,3,34:10,16.14,BLG,0
,14,73.3,9,3,AL,14,70.0,3,1,38:06,16.14,BLG,1
,21,67.5,9,3,EDG,10,55.9,0,1,32:15,16.14,BLG,1
,28,77.3,10,3,EDG,20,66.0,2,2,34:33,16.14,BLG,1
,15,70.2,5,3,EDG,17,72.1,8,3,37:22,16.14,BLG,0
,27,65.8,8,4,TT,13,56.8,1,0,29:41,16.14,BLG,1
,11,51.1,2,1,TT,23,60.9,7,3,28:34,16.14,BLG,0
,31,68.9,11,4,TT,11,54.8,2,1,30:26,16.14,BLG,1
,11,54.2,1,2,AL,27,61.7,9,2,27:43,16.14,EDG,0
,6,45.1,2,1,AL,22,58.0,9,2,25:05,16.14,EDG,0
,19,74.9,3,1,WE,32,86.0,10,4,37:51,16.14,EDG,0
,9,56.0,2,1,WE,24,67.2,10,4,30:49,16.14,EDG,0
,8,62.8,3,3,TT,11,71.6,8,2,36:27,16.14,EDG,0
,6,49.8,2,1,TT,22,63.8,9,4,28:52,16.14,EDG,0
,10,55.9,0,1,BLG,21,67.5,9,3,32:15,16.14,EDG,0
,20,66.0,2,2,BLG,28,77.3,10,3,34:33,16.14,EDG,0
,17,72.1,8,3,BLG,15,70.2,5,3,37:22,16.14,EDG,1
,11,70.5,4,4,LGD,20,78.4,9,1,37:36,16.13,EDG,0
,11,72.8,3,2,LGD,21,83.7,9,4,41:49,16.13,EDG,0
,20,56.9,9,4,LNG,8,41.7,0,0,25:02,16.14,IG,1
,21,64.9,8,3,LNG,11,52.9,0,1,29:21,16.14,IG,1
,14,52.3,10,2,WBG,5,41.2,1,1,24:20,16.14,IG,1
,20,59.9,7,3,WBG,9,52.0,2,0,29:05,16.14,IG,1
,7,56.5,2,2,WBG,26,71.0,10,3,32:22,16.14,IG,0
,7,50.1,3,1,LGD,14,61.0,8,3,28:45,16.14,JDG,0
,15,65.9,6,3,LGD,12,63.5,6,2,33:02,16.14,JDG,1
,15,61.4,3,1,TES,13,62.9,10,4,33:17,16.14,JDG,0
,8,58.8,2,0,TES,27,69.4,9,4,32:49,16.14,JDG,0
,6,54.5,0,2,BLG,17,66.2,10,2,31:16,16.14,JDG,0
,10,58.5,4,2,BLG,20,68.2,9,3,33:50,16.14,JDG,0
,23,69.5,10,4,TT,5,57.2,0,0,32:41,16.14,JDG,1
,17,57.4,8,3,TT,7,48.3,1,0,27:24,16.14,JDG,1
,13,60.4,4,2,TT,23,71.4,9,3,33:01,16.14,JDG,0
,7,56.1,2,0,WE,15,60.7,8,4,30:24,16.14,JDG,0
,20,64.9,9,2,WE,9,53.3,0,2,30:02,16.14,JDG,1
,13,62.2,4,2,WE,22,67.1,9,2,32:00,16.14,JDG,0
,14,104.9,9,1,AL,25,108.4,9,4,56:24,16.14,JDG,0
,7,67.0,3,2,AL,20,71.0,7,3,36:09,16.14,JDG,0
,10,59.8,8,2,AL,7,52.9,3,3,29:45,16.14,JDG,1
,14,61.0,8,3,JDG,7,50.1,3,1,28:45,16.14,LGD,1
,12,63.5,6,2,JDG,15,65.9,6,3,33:02,16.14,LGD,0
,10,56.0,1,1,TES,20,67.5,11,3,31:59,16.14,LGD,0
,8,44.3,2,0,TES,9,53.0,10,4,26:26,16.14,LGD,0
,12,53.8,7,2,TES,4,44.6,2,2,26:16,16.14,LGD,1
,9,51.0,1,0,BLG,17,64.2,10,4,31:23,16.14,LGD,0
,17,60.7,8,3,BLG,9,52.2,3,1,29:23,16.14,LGD,1
,16,70.4,3,2,BLG,25,78.4,12,4,37:29,16.14,LGD,0
,11,61.3,3,2,WE,27,70.2,9,3,33:38,16.14,LGD,0
,3,48.3,2,0,WE,12,58.5,8,4,28:10,16.14,LGD,0
,2,54.3,3,3,AL,21,64.9,8,2,31:14,16.14,LGD,0
,10,55.6,0,2,AL,14,59.7,7,3,29:51,16.14,LGD,0
,20,78.4,9,1,EDG,11,70.5,4,4,37:36,16.13,LGD,1
,21,83.7,9,4,EDG,11,72.8,3,2,41:49,16.13,LGD,1
,8,41.7,0,0,IG,20,56.9,9,4,25:02,16.14,LNG,0
,11,52.9,0,1,IG,21,64.9,8,3,29:21,16.14,LNG,0
,7,49.0,0,2,NIP,16,60.3,10,2,28:09,16.14,LNG,0
,2,46.2,2,0,NIP,14,57.3,11,4,26:36,16.14,LNG,0
,17,61.9,10,4,WBG,7,50.9,2,1,29:47,16.14,NIP,1
,13,58.5,9,4,WBG,6,51.1,3,0,29:48,16.14,NIP,1
,16,60.3,10,2,LNG,7,49.0,0,2,28:09,16.14,NIP,1
,14,57.3,11,4,LNG,2,46.2,2,0,26:36,16.14,NIP,1
,22,69.7,10,4,TT,9,57.6,1,0,33:00,16.14,WE,1
,27,65.5,8,3,TT,13,51.1,0,1,28:31,16.14,WE,1
,12,50.3,2,0,TT,28,63.1,8,4,28:46,16.14,WE,0
,15,53.9,3,1,BLG,26,66.1,10,2,28:33,16.14,WE,0
,9,54.5,0,1,BLG,20,67.3,11,2,30:46,16.14,WE,0
,32,86.0,10,4,EDG,19,74.9,3,1,37:51,16.14,WE,1
,24,67.2,10,4,EDG,9,56.0,2,1,30:49,16.14,WE,1
,27,70.2,9,3,LGD,11,61.3,3,2,33:38,16.14,WE,1
,12,58.5,8,4,LGD,3,48.3,2,0,28:10,16.14,WE,1
,15,60.7,8,4,JDG,7,56.1,2,0,30:24,16.14,WE,1
,9,53.3,0,2,JDG,20,64.9,9,2,30:02,16.14,WE,0
,22,67.1,9,2,JDG,13,62.2,4,2,32:00,16.14,WE,1
,15,52.5,2,1,TES,42,67.4,9,3,29:09,16.13,WE,0
,11,57.6,3,1,TES,17,63.7,10,3,31:17,16.13,WE,0
,9,57.6,1,0,WE,22,69.7,10,4,33:00,16.14,TT,0
,13,51.1,0,1,WE,27,65.5,8,3,28:31,16.14,TT,0
,28,63.1,8,4,WE,12,50.3,2,0,28:46,16.14,TT,1
,8,43.9,2,1,AL,20,51.5,8,1,24:09,16.14,TT,0
,3,37.0,1,0,AL,15,48.7,9,3,21:55,16.14,TT,0
,5,57.2,0,0,JDG,23,69.5,10,4,32:41,16.14,TT,0
,7,48.3,1,0,JDG,17,57.4,8,3,27:24,16.14,TT,0
,23,71.4,9,3,JDG,13,60.4,4,2,33:01,16.14,TT,1
,11,71.6,8,2,EDG,8,62.8,3,3,36:27,16.14,TT,1
,22,63.8,9,4,EDG,6,49.8,2,1,28:52,16.14,TT,1
,7,64.2,7,1,TES,20,70.5,8,4,36:13,16.14,TT,0
,32,60.1,10,4,TES,13,48.0,2,0,26:52,16.14,TT,1
,20,74.6,4,2,TES,22,78.5,9,4,38:08,16.14,TT,0
,13,56.8,1,0,BLG,27,65.8,8,4,29:41,16.14,TT,0
,23,60.9,7,3,BLG,11,51.1,2,1,28:34,16.14,TT,1
,11,54.8,2,1,BLG,31,68.9,11,4,30:26,16.14,TT,0
,13,62.9,10,4,JDG,15,61.4,3,1,33:17,16.14,TES,1
,27,69.4,9,4,JDG,8,58.8,2,0,32:49,16.14,TES,1
,20,67.5,11,3,LGD,10,56.0,1,1,31:59,16.14,TES,1
,9,53.0,10,4,LGD,8,44.3,2,0,26:26,16.14,TES,1
,4,44.6,2,2,LGD,12,53.8,7,2,26:16,16.14,TES,0
,13,60.8,2,3,AL,29,70.5,10,2,31:23,16.14,TES,0
,4,61.0,1,2,AL,13,70.2,9,3,35:31,16.14,TES,0
,20,70.5,8,4,TT,7,64.2,7,1,36:13,16.14,TES,1
,13,48.0,2,0,TT,32,60.1,10,4,26:52,16.14,TES,0
,22,78.5,9,4,TT,20,74.6,4,2,38:08,16.14,TES,1
,42,67.4,9,3,WE,15,52.5,2,1,29:09,16.13,TES,1
,17,63.7,10,3,WE,11,57.6,3,1,31:17,16.13,TES,1
,7,50.9,2,1,NIP,17,61.9,10,4,29:47,16.14,WBG,0
,6,51.1,3,0,NIP,13,58.5,9,4,29:48,16.14,WBG,0
,5,41.2,1,1,IG,14,52.3,10,2,24:20,16.14,WBG,0
,9,52.0,2,0,IG,20,59.9,7,3,29:05,16.14,WBG,0
,26,71.0,10,3,IG,7,56.5,2,2,32:22,16.14,WBG,1
